id,original_name,verified_name,town,address,category,confidence,status
503,"E. C. Cottle, Inc.","E. C. Cottle, Inc.","Edgartown","106 Main St, Edgartown, MA 02539","Shopping & Retail","high","resolved"
512,"The Edgartown Council on Aging","The Edgartown Council on Aging","Edgartown","20 Robinson Rd, Edgartown, MA 02539","Community","high","resolved"
518,"Edgartownpaintshoppe","Edgartown Paint Shoppe","Edgartown","101 Upper Main St, Edgartown, MA 02539","Shopping & Retail","high","resolved"
520,"Fine Fettle","Fine Fettle","Edgartown","256 Upper Main St, Edgartown, MA 02539","Shopping & Retail","high","resolved"
523,"Good Dog Goods","Good Dog Goods","Vineyard Haven","16 Main St, Vineyard Haven, MA 02568","Shopping & Retail","high","resolved"
536,"Islandmusic","Island Music","Oak Bluffs","59 Circuit Ave, Oak Bluffs, MA 02557","Shopping & Retail","high","resolved"
540,"Jardin Mahoney","Jardin Mahoney","Vineyard Haven","81 Main St, Vineyard Haven, MA 02568","Shopping & Retail","high","resolved"
549,"Larry","Larry","Edgartown","141 Main St, Edgartown, MA 02539","Shopping & Retail","high","resolved"
565,"Martha's Vineyard Made","Martha's Vineyard Made","West Tisbury","State Rd, West Tisbury, MA 02575","Shopping & Retail","high","resolved"
577,"Menemshablues","Menemsha Blues","Chilmark","30 Basin Rd, Menemsha, MA 02552","Restaurant","high","resolved"
593,"Marthasvineyardescaperoom","Martha's Vineyard Escape Room","Oak Bluffs","84 Circuit Ave, Oak Bluffs, MA 02557","Arts & Entertainment","high","resolved"
597,"Revive by Sarka ~ European Skincare, Boutique & Spa","Revive by Sarka ~ European Skincare, Boutique & Spa","Edgartown","38 Winter St, Edgartown, MA 02539","Health & Wellness","high","resolved"
606,"Sea Bags","Sea Bags","Vineyard Haven","9 Main St, Vineyard Haven, MA 02568","Shopping & Retail","high","resolved"
608,"Sea Legs","Sea Legs","Edgartown","25 Church St, Edgartown, MA 02539","Shopping & Retail","high","resolved"
610,"Sea Spasalon","Sea Spa Salon","Edgartown","93 Main St, Edgartown, MA 02539","Health & Wellness","high","resolved"
618,"Slip 77","Slip 77","Oak Bluffs","77 Circuit Ave, Oak Bluffs, MA 02557","Restaurant","high","resolved"
620,"Soft As a Grape","Soft As a Grape","Vineyard Haven","71 Main St, Vineyard Haven, MA 02568","Shopping & Retail","high","resolved"
623,"Sole","Sole","Edgartown","14 Church St, Edgartown, MA 02539","Shopping & Retail","high","resolved"
637,"Boneyard Surf Co.","Boneyard Surf Co","Oak Bluffs","33 Lake Ave, Oak Bluffs, MA 02557","Shopping & Retail","high","resolved"
652,"Martha’s Vineyard Home Décor","Vineyard Decorators","Vineyard Haven","67 Main St, Vineyard Haven, MA 02568","Shopping & Retail","high","resolved"
656,"Vineyard Hearth Patio & Spa","Vineyard Hearth Patio & Spa","West Tisbury","695 State Rd, West Tisbury, MA 02575","Shopping & Retail","high","resolved"
660,"Vineyard Vines","Vineyard Vines","Vineyard Haven","68 Main St, Vineyard Haven, MA 02568","Shopping & Retail","high","resolved"
663,"Wheelhappybicycles","Wheel Happy Bicycles","Edgartown","8 S Water St, Edgartown, MA 02539","Shopping & Retail","high","resolved"
665,"Sail Surf and Paddle on Martha's Vineyard","Wind's Up","Oak Bluffs","199 Beach Rd, Vineyard Haven, MA 02568","Shopping & Retail","high","resolved"
702,"9 Craft Kitchen And Bar","9 Craft Kitchen & Bar","Oak Bluffs","9 Oak Bluffs Ave, Oak Bluffs, MA 02557","Restaurant","high","resolved"
704,"Beach Road","Beach Road Restaurant","Vineyard Haven","79 Beach Rd, Vineyard Haven, MA 02568","Restaurant","high","resolved"
719,"Martha's Vineyard Pizza","Martha's Vineyard Pizza","Oak Bluffs","12 Circuit Ave, Oak Bluffs, MA 02557","Restaurant","high","resolved"
720,"Art Cliff Diner","Art Cliff Diner","Vineyard Haven","39 Beach Rd, Vineyard Haven, MA 02568","Restaurant","high","resolved"
723,"Rosie's Frozen Yogurt","Rosie's Frozen Yogurt","Oak Bluffs","6 Circuit Ave, Oak Bluffs, MA 02557","Restaurant","high","resolved"
728,"La Strada","La Strada","Edgartown","51 Main St, Edgartown, MA 02539","Restaurant","high","resolved"
729,"Model Deli Is a Model of Deliciousness","Model Deli Is a Model of Deliciousness","West Tisbury","688 State Rd, West Tisbury, MA 02575","Restaurant","high","resolved"
273,"Vineyard Scripts","","","","","","invalid_record"
282,"Entertainmentcinemas.Com/Locations/Edgartown","Entertainment Cinemas Edgartown","Edgartown","","","","invalid_record"
306,"Michaeljimage","","","","","","invalid_record"
328,"Instagram","","","","","","invalid_record"
349,"Refuge Recovery World Services","","","","","","invalid_record"
350,"Smart Recovery","","","","","","invalid_record"
368,"Redirecting...","","","","","","invalid_record"
399,"Book a Hostel","","","","","","invalid_record"
459,"Altheadesigns","","","","","","invalid_record"
461,"Basicsandeastaway.company","","","","","","invalid_record"
466,"Binks Auto.business","","","","","","invalid_record"
485,"Account Suspended","","","","","","invalid_record"
489,"Secure.myvanco.com/ygss/campaign/c-yjgr","","","","","","invalid_record"
591,"Phillips Hardware Closed","","","","","","invalid_record"
599,"Personal & Business Banking","Rockland Trust","Vineyard Haven","","","","invalid_record"
629,"Summershadessunglasses","","","","","","invalid_record"
646,"Tisburyma.Gov/Council-Aging","Tisbury Council on Aging","Vineyard Haven","","","","invalid_record"
