id,old_name,verified_name,old_town,verified_town,old_category,verified_top_category,verified_subcategory,address,zip,phone,website,status,confidence,recommended_action,verification_source,notes
49,"19 Prime Steak House","","Edgartown","","Restaurant","","","19 Church St, Edgartown, MA","","(774) 224-0550","http://19primesteak.com/","","","","",""
54,"Among the Flowers","","Edgartown","","Restaurant","","","Edgartown, ma 02539","","(508) 627-3233","http://amongtheflowersmv.com/","","","","",""
56,"Martha's Vineyard Seafood & Steak Restaurant","","Edgartown","","Restaurant","","","2 Main StREET, Edgartown, MA 02539","","(508) 627-7001","http://atlanticmv.com/","","","","",""
60,"Bad Martha Beer","","Edgartown","","Restaurant","","","270 Upper Main St, Edgartown, MA 02539","","(508) 939-4415","http://badmarthabeer.com/","","","","",""
62,"Behind the Bookstore","","Edgartown","","Restaurant","","","46 Main St, Edgartown, MA 02539","","(774) 549-9123","http://btbmv.com/","","","","",""
66,"Prepared Food","","Edgartown","","Restaurant","","","17 Airport Road, Edgartown, MA 02539","","(508) 338-7770","http://blacksheeponmv.com/","","","","",""
68,"Blackbird Cafe","","Edgartown","","Restaurant","","","19 North Water Street, Edgartown, MA 02539","","(978) 272-1175","http://myblackbirdcafe.com/","","","","",""
70,"Chesca","","Edgartown","","Restaurant","","","38 N Water St, Edgartown, MA 02539","","(508) 627-1234","http://chescasmv.com/","","","","",""
72,"China House｜online Order｜edgartown｜wa","","Edgartown","","Restaurant","","","Edgartown, MA 02539","","(508) 627-7272","http://mvchinahouse.com/","","","","",""
74,"Cozy Corner Cafe","","Edgartown","","Restaurant","","","Vineyard Haven Rd, Edgartown, MA 02539","","(508) 939-3988","https://cozycornermv.com/","","","","",""
76,"Détente","","Edgartown","","Restaurant","","","Edgartown, MA 02539","","","http://detentemv.com/","","","","",""
79,"Dock Street Coffee Shop.square","","Edgartown","","Restaurant","","","","","","https://dock-street-coffee-shop.square.site/","","","","",""
83,"Edgartown Meatandfish","","Edgartown","","Restaurant","","","","","(508) 627-6200","http://edgartownmeatandfish.com/","","","","",""
87,"Espresso Love","","Edgartown","","Restaurant","","","","","","http://espressolove.com/","","","","",""
89,"Great Harbor Market","","Edgartown","","Restaurant","","","199 Upper Main St, Edgartown, MA 02539","","(508) 694-6888","http://greatharbormarket.com/","","","","",""
91,"Kgs 2","","Edgartown","","Restaurant","","","170 Katama Rd, Edgartown, MA","","(508) 627-5071","http://katamageneral.com/","","","","",""
93,"Katama Kitchen","","Edgartown","","Restaurant","","","12 Mattakesett Way, Edgartown, MA 02539","","(774) 549-5345","http://katamakitchen.com/","","","","",""
95,"L'etoile","","Edgartown","","Restaurant","","","22 North water Street, Edgartown, MA 02539","","(508) 627-5187","http://letoile.net/","","","","",""
97,"Lucky Hank's","","Edgartown","","Restaurant","","","218 Upper Main St, Edgartown, MA 02539","","(508) 939-4082","http://luckyhanksmv.com/","","","","",""
100,"Morning Glory Farm","","Edgartown","","Restaurant","","",", Edgartown, MA 02539","","(508) 627-9003","http://morninggloryfarm.com/","","","","",""
105,"Rockfishedgartown","","Oak Bluffs","","Restaurant","","","Water Street Edgartown, MA 02557","","(508) 627-9967","http://rockfishedgartown.com/","","","","",""
107,"Rosewater","","Edgartown","","Restaurant","","","127020 South Summer St, Edgartown, MA","","(508) 627-1270","https://www.rosewatermv.com/","","","","",""
109,"Theseafoodshanty","","Edgartown","","Restaurant","","","","","(508) 627-8622","http://theseafoodshanty.com/","","","","",""
112,"Soigne","","Edgartown","","Restaurant","","","190 Upper Main St, Edgartown, MA 02539","","(508) 627-8489","http://soignemv.com/","","","","",""
114,"Squareriggerrestaurant","","Edgartown","","Restaurant","","","","","","http://squareriggerrestaurant.com/","","","","",""
117,"The Covington Restaurant and Bar","","Edgartown","","Restaurant","","","52 Main Street, Edgartown, MA 02539","","(508) 627-7678","http://thecovingtonrestaurant.com/","","","","",""
119,"Winnetu Oceanside Resort","","Edgartown","","Lodging","","","31 Dunes Rd, Edgartown, MA 02539","","(866) 335-1133","http://winnetu.com/","","","","",""
121,"The Porthunter","","Edgartown","","Restaurant","","","","","","http://theporthunter.com/","","","","",""
123,"Edgartown, Ma Bars","","Edgartown","","Restaurant","","","","","","http://townbarmv.com/","","","","",""
125,"The Wharf Pub Edgartown","","Edgartown","","Restaurant","","","3 Main Street, Edgartown, MA 02539","","(508) 627-9966","http://wharfpubmv.com/","","","","",""
127,"Wolf's Den Pizzeria","","Edgartown","","Restaurant","","","249 Vineyard Haven Rd, Edgartown, MA 02539","","(508) 684-2203","https://www.wolfsdenpizzeria.com/","","","","",""
129,"Aalias Website 2026","","Oak Bluffs","","Restaurant","","","","","","http://aaliascoffee.com/","","","","",""
131,"Back Door Donuts","","Oak Bluffs","","Restaurant","","","","","(508) 693-3688","http://backdoordonuts.com/","","","","",""
133,"Bangkok Cuisine","","Oak Bluffs","","Restaurant","","","","","(508) 771-1338","http://bangkokcapecod.com/","","","","",""
135,"Benandbills","","Oak Bluffs","","Restaurant","","","20A Circuit Avenue, Oak Bluffs, MA 02557","","(508) 696-0008","http://benandbillsmv.com/","","","","",""
141,"Coopdevilleshuck Shack","","Oak Bluffs","","Restaurant","","","","","","http://coopdevilleshuckshack.com/","","","","",""
143,"Dos Mas MV","","Oak Bluffs","","Restaurant","","","50 Circuit Ave, Oak Bluffs, MA 02557","","(508) 687-9271","http://dosmasmv.com/","","","","",""
145,"Eleven Circuit","","Oak Bluffs","","Restaurant","","","","","(508) 687-9283","http://elevencircuit.com/","","","","",""
148,"Farmneck.net/cafe","","Oak Bluffs","","Restaurant","","","Oak Bluffs, MA 02557","","(508) 693-3560","http://farmneck.net/cafe","","","","",""
150,"Fat Ronniesburgerbar","","Oak Bluffs","","Restaurant","","","","","","http://fatronniesburgerbar.com/","","","","",""
152,"Fishbones Bar & Grille","","Oak Bluffs","","Restaurant","","","12 Circuit Avenue Extension, Oak Bluffs, MA 02557","","(508) 696-8227","http://fishbones-mv.com/","","","","",""
154,"Giordano's Restaurant, INC","","Oak Bluffs","","Restaurant","","","Oak Bluffs, MA 02557","","(508) 693-0184","http://giosmv.com/","","","","",""
156,"Igimv.org/about-island-food-pantry","","Oak Bluffs","","Restaurant","","","114 Dukes County Ave, Oak Bluffs, MA 02557","","(508) 296-8384","http://igimv.org/about-island-food-pantry","","","","",""
158,"Jimmy Seas Loon Mountain","","Oak Bluffs","","Restaurant","","","25 South Mountain Drive, Lincoln, NH 03251","","(508) 687-9804","http://jimmyseaspanpastas.com/","","","","",""
160,"Lobster Ville","","Oak Bluffs","","Restaurant","","","","","","http://lobstervillemv.com/","","","","",""
162,"Lookout Tavern","","Oak Bluffs","","Restaurant","","","8 Seaview Ave, Oak Bluffs, MA 02557","","(508) 696-9844","http://lookoutmv.com/","","","","",""
164,"MV Chowder Co","","Oak Bluffs","","Restaurant","","","Marthas Vineyard Chowder Company, None, MA None","","(508) 696-3000","http://chowdermv.com/","","","","",""
166,"Mikado Asian Bistro @ Oak Bluffs","","Oak Bluffs","","Restaurant","","","","","","http://mikadoob.com/","","","","",""
168,"Offshore Ale Company","","Oak Bluffs","","Restaurant","","","30 Kennebec Avenue, Oak Bluffs, MA 02557","","(508) 693-2626","http://offshoreale.com/","","","","",""
172,"Sharky's Oak Bluffs","","Oak Bluffs","","Restaurant","","","31 Circuit Ave, Oak Bluffs, MA","","(508) 693-7501","http://sharkmenu.com/","","","","",""
174,"The Barn Bowl & Bistro","","Oak Bluffs","","Restaurant","","","13 Uncas Avenue, Oak Bluffs, MA 02557","","(508) 696-9800","http://thebarnmv.com/","","","","",""
177,"The Ritz Cafe","","Oak Bluffs","","Restaurant","","","4 Circuit Ave, Oak Bluffs, MA 02557","","(508) 296-8159","http://theritzmv.com/","","","","",""
179,"The Sweet Life MV","","Oak Bluffs","","Restaurant","","","OAK BLUFFS, MA 02557","","(508) 696-0200","http://sweetlifemv.com/","","","","",""
181,"Tony's Market","","Oak Bluffs","","Restaurant","","","119 Dukes County Avenue, Oak Bluffs, MA 02557","","(508) 693-4799","http://tonysmarketmv.com/","","","","",""
183,"Winston","","Vineyard Haven","","Restaurant","","","1 East Chop Drive, Oak Bluffs, MA 02568","","(508) 687-9572","https://www.winstonskitchen-mv.com/","","","","",""
185,"7a Foods Martha's Vineyard","","West Tisbury","","Restaurant","","","1045 State Road West, Tisbury, MA 02575","","(508) 693-4636","http://7afoods.com/","","","","",""
187,"State Road Restaurant","","West Tisbury","","Restaurant","","","","","(508) 693-8582","http://stateroadrestaurant.com/","","","","",""
189,"Vineyard Take Out","","West Tisbury","","Restaurant","","","479 State Rd, West Tisbury, MA 02575","","(508) 693-6924","https://www.vineyardtakeoutmenu.com/","","","","",""
191,"Artcliff Diner","","Vineyard Haven","","Restaurant","","","39 Beach Rd, Vineyard Haven, MA 02568","","(508) 693-1224","http://artcliffdiner.com/","","","","",""
196,"Bobby B's","","Oak Bluffs","","Restaurant","","","90 Circuit Ave, Oak Bluffs, MA 02557","","(508) 693-8266","http://bobbybsmv.com/","","","","",""
198,"Catboat Coffee Co.","","Vineyard Haven","","Restaurant","","","79 Beach Road, Vineyard Haven, MA","","(774) 563-5296","https://catboatcoffee.com/","","","","",""
200,"Delicious MV","","Oak Bluffs","","Restaurant","","","94 Circuit Ave, Oak Bluffs, MA 02557","","","http://deliciousmv.com/","","","","",""
202,"Island Fresh Pizza","","Vineyard Haven","","Restaurant","","","395 State Rd, Vineyard Haven, MA 02568","","(508) 338-2764","http://islandfreshpizza.com/","","","","",""
204,"La Choza","","Vineyard Haven","","Restaurant","","","12 State Rd, Vineyard Haven, MA 02568","","","http://lachozamv.com/","","","","",""
206,"Mikado","","Unknown","","Restaurant","","","","","","http://mikadomv.com/","","","","",""
208,"Mocha Mott's","","Vineyard Haven","","Restaurant","","","15 Main St, Vineyard Haven, MA 02568","","(508) 693-3155","http://mochamotts.com/","","","","",""
210,"Nook","","Vineyard Haven","","Restaurant","","","238 Main St, Vineyard Haven, MA","","(508) 338-2340","http://natsnookmv.com/","","","","",""
213,"Porto Pizza Martha's Vineyard","","Vineyard Haven","","Restaurant","","","36 Water St, Vineyard Haven, MA 02568","","(508) 693-6200","http://portopizzamv.com/","","","","",""
215,"Rocco's Pizza Menu","","Vineyard Haven","","Restaurant","","","s Vineyard, Massachusetts 02568","","(508) 693-1125","http://marthasvineyardpizza.com/","","","","",""
217,"Authentic Italian Food","","Vineyard Haven","","Restaurant","","","20 Union Street, Vineyard Haven, MA","","(508) 687-9457","http://salvatoresristorante.com/","","","","",""
219,"Scottish Bakehouse","","Vineyard Haven","","Restaurant","","","977 State Rd, Vineyard Haven, MA 02568","","","http://scottishbakehousemv.com/","","","","",""
221,"Sweet Bites","","Vineyard Haven","","Restaurant","","","32 Beach Street, Vineyard Haven, MA 02568","","(598) 684-8257","http://sweetbitesmv.com/","","","","",""
225,"Waterside Market","","Vineyard Haven","","Restaurant","","","82 Main Street, Vineyard Haven, MA 02568","","(508) 693-8899","http://watersidemarket.com/","","","","",""
227,"Menu","","Vineyard Haven","","Restaurant","","","Grill455 State Rd Unit 4 Vineyard Haven MA 02568","","(508) 693-6795","http://woodlandvarietyandgrill.com/","","","","",""
229,"Allen Farm Sheep & Wool Company","","Chilmark","","Restaurant","","","421 S Rd, Chilmark, MA 02535","","(508) 645-9064","http://allenfarm.com/","","","","",""
231,"Native Earth Teaching Farm","","West Tisbury","","Community","","","94 North Rd, West Tisbury, MA 02575","","(302) 208-9250","http://nativeearthteachingfarm.org/","","","","",""
233,"North Tabor Farm","","Chilmark","","Restaurant","","","4 North Tabor Farm Road, Chilmark, MA 02535","","(508) 645-3311","http://northtaborfarm.com/","","","","",""
239,"Cronigs Market","","Vineyard Haven","","Restaurant","","","357 State Road, Vineyard Haven, MA 02568","","(508) 693-4457","http://cronigsmarket.com/","","","","",""
244,"The Reliable Market","","Oak Bluffs","","Restaurant","","","Oak Bluffs, MA 02557","","(508) 693-1102","http://thereliablemarket.com/","","","","",""
249,"Vineyard Grocer","","Vineyard Haven","","Shopping & Retail","","","294 State Rd, Vineyard Haven, MA 02568","","(508) 693-2000","http://vineyardgrocer.com/","","","","",""
251,"Edgartown Seafood Fish Market","","Edgartown","","Restaurant","","","138 Cooke Street, Edgartown, MA 02539","","(508) 627-3791","http://edgartownseafood.com/","","","","",""
253,"Larsen's Fish Market","","Chilmark","","Shopping & Retail","","","56 Basin Rd, Menemsha, MA 02552","","(508) 645-2680","http://larsensfishmarket.com/","","","","",""
255,"Menemsha Fish Market","","Chilmark","","Shopping & Retail","","","54 Basin Rd, Menemsha, MA 02552","","(508) 645-2282","http://menemshafishmarket.com/","","","","",""
257,"The Net Result","","Vineyard Haven","","Restaurant","","","79 Beach Rd, Vineyard Haven, MA 02568","","(508) 693-6071","http://mvseafood.com/","","","","",""
260,"Jim's Package Store","","Oak Bluffs","","Restaurant","","","1608, 
Oak Bluffs, 
MA","","(508) 693-0236","http://jimspackagestore.com/","","","","",""
262,"MV Wine Store","","Edgartown","","Shopping & Retail","","","196 Upper Main St, Edgartown, MA 02539","","(508) 627-7557","http://mvwinestore.com/","","","","",""
266,"Vintage MV Wine & Spirits","","Edgartown","","Restaurant","","","29 Winter Street, Nevin SqaureEdgartown, MA 02539","","(774) 549-9287","http://vintagemvwine-spirits.com/","","","","",""
270,"Conroy Apothecary","","Vineyard Haven","","Restaurant","","","459 State Road West, Tisbury, MA","","(508) 693-7070","http://conroy-apothecary.com/","","","","",""
273,"Vineyard Scripts","","Unknown","","Restaurant","","","","","","http://vineyardscripts.com/","","","","",""
276,"51art Gallery Located at the Shoppe With the Red Door","","Vineyard Haven","","Restaurant","","","4 Union Street, Vineyard Haven, MA 02568","","","http://www.theshoppewiththereddoor.com/","","","","",""
278,"Sue","","Oak Bluffs","","Restaurant","","","Title
















 
 





 

 88 Dukes County Avenue
PO Box 1545
Oak Bluffs, MA 02557","","(508) 693-4429","http://alisonshaw.com/","","","","",""
280,"Blanchard Photography","","West Tisbury","","Professional Services","","","West Tisbury, MA 02575","","","http://blanchardphotomv.com/","","","","",""
282,"Entertainmentcinemas.Com/Locations/Edgartown","","Unknown","","Restaurant","","","","","","http://entertainmentcinemas.com/locations/edgartown","","","","",""
284,"Edgartown Firemen's Association","","Edgartown","","Restaurant","","","516768 Pease Point Way South PO BOX 737Edgartown, MA 02539","","(508) 627-5167","http://edgartownfiremensassociation.org/","","","","",""
286,"Eisenhauer Gallery","","Edgartown","","Restaurant","","","38 N WATER ST PO Box 1930, EDGARTOWN, MA 02539","","","http://eisenhauergallery.com/","","","","",""
288,"Featherstone Center for the Arts","","Oak Bluffs","","Restaurant","","","Oak Bluffs, MA, 02557","","(508) 693-1850","http://featherstoneart.org/","","","","",""
290,"Field Gallery","","West Tisbury","","Restaurant","","","1050 State Road                West, Tisbury, MA 02575","","(508) 693-5595","http://fieldgallery.com/","","","","",""
293,"Island Folk Pottery","","Chilmark","","Restaurant","","","s Way
Chilmark, MA
02535","","(508) 955-9944","http://islandfolkpottery.com/","","","","",""
295,"Louisa Gould Photographer","","Unknown","","Restaurant","","","","","","http://louisagould.com/","","","","",""
297,"MV Glassworks","","West Tisbury","","Shopping & Retail","","","683 State Road, West Tisbury, MA 02575","","(508) 693-6026","http://mvglassworks.com/","","","","",""
300,"MV Museum","","Vineyard Haven","","Community","","","SUNDAY
151 LAGOON POND ROADVINEYARD HAVEN MA 02568","","(508) 627-4441","http://mvmuseum.org/","","","","",""
304,"Merry Farm Pottery","","West Tisbury","","Shopping & Retail","","","674 Lambert's Cove Rd, West Tisbury, MA 02575","","(774) 836-4349","http://merryfarmpottery.com/","","","","",""
306,"Michaeljimage","","Unknown","","Restaurant","","","","","(415) 238-7572","http://michaeljimage.com/","","","","",""
308,"Moore Family Gallery","","Oak Bluffs","","Restaurant","","","s Park Road, Oak Bluffs, MA, 02557","","(508) 693-8548","http://moorefamilygallery.com/","","","","",""
310,"MV Camp Meeting Association","","Oak Bluffs","","Community","","","80 Trinity Park, Oak Bluffs, MA 02557","","(508) 693-0525","http://mvcma.org/","","","","",""
312,"North Water Gallery","","West Tisbury","","Restaurant","","","1050 State Road                West, Tisbury, MA 02575","","(508) 627-6002","http://northwatergallery.com/","","","","",""
314,"Pathways Arts","","Chilmark","","Community","","","9 State Road, Chilmark, MA 02535","","(508) 645-9098","http://pathwaysmv.org/","","","","",""
316,"Seastone Papers","","West Tisbury","","Restaurant","","","s Vineyard, MA  02575","","(508) 693-5786","http://seastonepapers.com/","","","","",""
318,"Strand Theatre MV","","Oak Bluffs","","Restaurant","","","11 Oak Bluffs Ave, Oak Bluffs, MA 02557","","(312) 576-4890","http://strandtheatre-marthasvineyard.com/","","","","",""
320,"Vineyard Preservation Trust","","Edgartown","","Restaurant","","","Box 5277
Edgartown, MA 02539","","(774) 549-9107","http://vineyardtrust.org/","","","","",""
322,"The Christina Gallery","","Edgartown","","Restaurant","","","5 Winter Street, Edgartown, MA 02539","","(508) 627-8794","http://christina.com/","","","","",""
324,"Peter Simon Photography","","Chilmark","","Restaurant","","","14 Wisteria Road, Chilmark, MA 02535","","","http://petersimon.com/","","","","",""
326,"The Vineyard's Drive","","Unknown","","Restaurant","","","","","(508) 696-6300","http://driveinmv.com/","","","","",""
328,"Instagram","","Unknown","","Restaurant","","","","","","https://instagram.com","","","","",""
329,"The Yard","","Chilmark","","Restaurant","","","1 The Yard, Chilmark, MA","","(508) 645-9662","http://dancetheyard.org/","","","","",""
331,"Tuck & Holand Metal Sculptors","","Vineyard Haven","","Restaurant","","","275 State Road, Tisbury, MA","","(508) 693-3914","http://tuckandholand.com/","","","","",""
333,"Vineyard Arts Project","","Edgartown","","Restaurant","","","215 Upper Main Street, Edgartown, MA 02539","","(508) 413-2104","http://vineyardarts.org/","","","","",""
335,"Washington Ledesma","","Edgartown","","Restaurant","","","58 Dock Street, Edgartown, MA","","(508) 693-1823","http://washingtonledesmamv.com/","","","","",""
337,"Winter Street Gallery","","Edgartown","","Restaurant","","","22 Winter Street, Edgartown, MA 02539","","(401) 602-1702","http://winterstreetgallery.com/","","","","",""
339,"Edgartown Golf Club Martha's Vineyard","","Edgartown","","Restaurant","","","205 , Edgartown, MA 02539","","(508) 627-5343","https://edgartowngolfclub.com/","","","","",""
340,"Felix Neck Wildlife Sanctuary","","Vineyard Haven","","Restaurant","","","494 , Vineyard Haven, MA 02568","","(508) 627-4850","http://massaudubon.org/felixneck","","","","",""
342,"Mink Meadows Golf Club","","Vineyard Haven","","Restaurant","","","320 Golf Club Road, Vineyard Haven, MA 02568","","(508) 693-0600","https://www.minkmeadowsgc.com/","","","","",""
343,"The Polly Hill Arboretum","","West Tisbury","","Restaurant","","","809 State Road West, Tisbury, MA 02575","","(508) 693-9426","http://pollyhillarboretum.org/","","","","",""
345,"Royal Chappy Golf","","Edgartown","","Restaurant","","","EDGARTOWN MA 02539","","(508) 939-4055","https://royalchappy.com/","","","","",""
346,"Vineyard Golf Club","","Edgartown","","Restaurant","","","Box 9 Edgartown, MA 02539","","(508) 627-8930","https://www.vineyardgolf.com/","","","","",""
347,"The Martha's Vineyard Groups of Alcoholics Anonymous","","Edgartown","","Restaurant","","","45 South Summer Street, Edgartown, MA","","(508) 627-7084","https://aaonmv.org","","","","",""
348,"MV Narcotics Anonymous","","Vineyard Haven","","Community","","","Vineyard Haven, MA","","(866) 686-2669","http://mvana.org/","","","","",""
349,"Refuge Recovery World Services","","Unknown","","Restaurant","","","","","(323) 592-9502","http://refugerecovery.org/","","","","",""
350,"Smart Recovery","","Unknown","","Restaurant","","","","","(440) 951-5357","http://smartrecovery.org/","","","","",""
351,"Airportfitness","","Unknown","","Health & Wellness","","","","","(508) 696-8000","http://airportfitnessmv.com/","","","","",""
353,"B Strong","","Oak Bluffs","","Health & Wellness","","","29 Kennebec Ave., Oak Bluffs, MA","","(508) 685-8888","http://b-strong.com/","","","","",""
355,"Crossfitmarthas","","Unknown","","Health & Wellness","","","","","","http://crossfitmarthasvineyard.com/","","","","",""
357,"Optometrist in Harvard Square","","Vineyard Haven","","Health & Wellness","","","s Vineyard, MA 02568","","(617) 366-1549","http://harvardsquareeyecare.com/","","","","",""
359,"Hot Yoga MV","","Vineyard Haven","","Health & Wellness","","","497 State Road, West Tisbury, MA","","(774) 327-1287","http://hotyogamv.com/","","","","",""
361,"Allyson Cook Metell, Lmt & Associates","","Vineyard Haven","","Health & Wellness","","","Associates455 State RdPMB 133Vineyard Haven, MA 02568","","(508) 696-1863","http://allysonlmt.com/","","","","",""
364,"Megan Grennan Yoga","","West Tisbury","","Health & Wellness","","","comPO Box 909West Tisbury, MA 02575","","","http://meganyogamv.com/","","","","",""
365,"Peakedhillstudio","","Chilmark","","Health & Wellness","","","Peaked Hill Studio
Chilmark, MA 02535","","(774) 563-8282","http://peakedhillstudio.com/","","","","",""
367,"Vcmpt","","Edgartown","","Health & Wellness","","","238 Edgartown-Vineyard Haven Rd, Edgartown, MA 02539","","(508) 693-3800","http://vcmpt.com/","","","","",""
368,"Redirecting...","","Unknown","","Health & Wellness","","","","","","http://vineyardgynecology.com/","","","","",""
370,"Vineyard Medical Care","","Vineyard Haven","","Healthcare","","","364 State Road, Vineyard Haven, MA","","(508) 693-4400","http://vineyardmedicalcare.com/","","","","",""
372,"Vineyard Vinyasa","","Oak Bluffs","","Health & Wellness","","","50 Kennebec Ave, Oak Bluffs, MA 02557","","","http://vineyardvinyasamv.com/","","","","",""
374,"Ymca of Martha's Vineyard","","Vineyard Haven","","Health & Wellness","","","VINEYARD HAVEN, MA 02568","","(508) 696-7171","http://ymcamv.org/","","","","",""
375,"Marthas Vineyard Yoga Barn","","West Tisbury","","Restaurant","","","1 RED BARN ROAD, WEST TISBURY, MA 02575","","","http://marthas-vineyard-yoga-barn.com/","","","","",""
376,"Edgartown Martha's Vineyard Hot Yoga Studio/yoga on the Vine","","Edgartown","","Health & Wellness","","","Edgartown Rd, Edgartown, MA 02539","","","http://yogaonthevine.com/","","","","",""
377,"Ashley Inn","","Edgartown","","Lodging","","","Edgartown, MA 02539","","(508) 627-9655","http://ashleyinn.net/","","","","",""
379,"Charles & Charles","","Vineyard Haven","","Other","","","85 Summer Street, Vineyard Haven, MA 02568","","(508) 338-2351","http://charlesandcharlesmv.com/","","","","",""
381,"Dockside Inn","","Oak Bluffs","","Lodging","","","9 Circuit Avenue, Extension Oak Bluffs, MA 02557","","(800) 245-5979","http://vineyardinns.com/","","","","",""
383,"Dunmere House","","Oak Bluffs","","Lodging","","","7 Pennacook Ave, Vineyard Haven, MA 02557","","(508) 693-3627","http://dunmerehouse.com/","","","","",""
385,"Edgar Hotel","","Edgartown","","Lodging","","","Edgartown, MA 02539","","(508) 627-5161","http://edgarhotelmv.com/","","","","",""
387,"Instagram Icon","","Edgartown","","Other","","","Edgartown, MA 02539","","(508) 627-4671","http://edgartowncommons.com/","","","","",""
390,"Luxury Boutique Hotel Edgartown","","Edgartown","","Lodging","","","222 Upper Main Street, Edgartown, MA","","(508) 379-2100","http://franklinhotelmv.com/","","","","",""
392,"Greenwood House","","Vineyard Haven","","Other","","","6150
PO Box 2734, Vineyard Haven, MA 02568","","(508) 693-6150","http://greenwoodhouse.com/","","","","",""
395,"The Harborside Inn","","Edgartown","","Lodging","","","3 South Water Street, Edgartown, MA 02539","","(508) 627-4321","http://theharborsideinn.com/","","","","",""
397,"Hob Knob","","Edgartown","","Lodging","","","128 Main Street, Edgartown, MA 02539","","(508) 627-9510","http://hobknob.com/","","","","",""
399,"Book a Hostel","","Unknown","","Other","","","","","","http://hiusa.org/","","","","",""
401,"Inkwell Beach House","","Oak Bluffs","","Other","","","83 Sea View Ave, Oak Bluffs, MA 02557","","(838) 245-8830","http://inkwellbeach.com/","","","","",""
403,"Kkon","","Oak Bluffs","","Other","","","59 Naushon Ave, Oak Bluffs, MA 02557","","(508) 863-2734","http://kkonmv.com/","","","","",""
405,"Lambert's Cove Inn","","Vineyard Haven","","Lodging","","","RESORT
90 Manaquayak Road
West Tisbury, MA 02568","","(508) 422-8051","http://lambertscoveinn.com/","","","","",""
406,"Madisoninn","","Oak Bluffs","","Lodging","","","18 Kennebec Avenue, Oak Bluffs, MA 02557","","(508) 693-2760","http://madisoninnmv.com/","","","","",""
408,"Camp MV","","Vineyard Haven","","Other","","","1 569, Edgartown, MA","","(508) 693-3772","http://campmv.com/","","","","",""
410,"Menemsha Inn & Cottages: Martha's Vineyard Vacation Rentals","","Chilmark","","Lodging","","","457 North Road, Menemsha, MA 02552","","(508) 645-2521","http://menemshainn.com/","","","","",""
412,"Narragansett House","","Oak Bluffs","","Lodging","","","46 Narragansett Ave, Oak Bluffs, MA 02557","","(518) 577-2938","http://narragansetthouse.com/","","","","",""
413,"Nobnocket","","Vineyard Haven","","Lodging","","","The Nobnocket Boutique Inn Vineyard Haven, MA 02568","","(508) 696-0859","http://nobnocket.com/","","","","",""
415,"Martha’s Vineyard Hotels","","Oak Bluffs","","Lodging","","","19 Pequot Avenue, Oak Bluffs, MA 02557","","(508) 693-5087","http://pequothotel.com/","","","","",""
