id,business_name,verified_name,old_town,verified_town,old_category,verified_category,address,phone,website,status,action,notes
166,"Mikado Asian Bistro @ Oak Bluffs","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","","","http://mikadoob.com/","active","verified",""
168,"Offshore Ale Company","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","30 Kennebec Avenue, Oak Bluffs, MA 02557","(508) 693-2626","http://offshoreale.com/","active","verified",""
172,"Sharky's Oak Bluffs","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","31 Circuit Ave, Oak Bluffs, MA","(508) 693-7501","http://sharkmenu.com/","active","verified",""
174,"The Barn Bowl & Bistro","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","13 Uncas Avenue, Oak Bluffs, MA 02557","(508) 696-9800","http://thebarnmv.com/","active","verified",""
177,"The Ritz Cafe","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","4 Circuit Ave, Oak Bluffs, MA 02557","(508) 296-8159","http://theritzmv.com/","active","verified",""
179,"The Sweet Life MV","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","OAK BLUFFS, MA 02557","(508) 696-0200","http://sweetlifemv.com/","active","verified",""
181,"Tony's Market","","Oak Bluffs","Oak Bluffs","Restaurant","Shopping & Specialty Retail","119 Dukes County Avenue, Oak Bluffs, MA 02557","(508) 693-4799","http://tonysmarketmv.com/","active","corrected","Tony's Market - grocery"
183,"Winston","","Vineyard Haven","Oak Bluffs","Restaurant","Restaurant","1 East Chop Drive, Oak Bluffs, MA 02568","(508) 687-9572","https://www.winstonskitchen-mv.com/","active","corrected","Winston's Kitchen is at 1 East Chop Drive, Oak Bluffs"
185,"7a Foods Martha's Vineyard","","West Tisbury","West Tisbury","Restaurant","Restaurant","1045 State Road West, Tisbury, MA 02575","(508) 693-4636","http://7afoods.com/","active","verified",""
187,"State Road Restaurant","","West Tisbury","West Tisbury","Restaurant","Restaurant","","(508) 693-8582","http://stateroadrestaurant.com/","active","verified",""
189,"Vineyard Take Out","","West Tisbury","West Tisbury","Restaurant","Restaurant","479 State Rd, West Tisbury, MA 02575","(508) 693-6924","https://www.vineyardtakeoutmenu.com/","active","verified",""
191,"Artcliff Diner","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","39 Beach Rd, Vineyard Haven, MA 02568","(508) 693-1224","http://artcliffdiner.com/","active","verified",""
196,"Bobby B's","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","90 Circuit Ave, Oak Bluffs, MA 02557","(508) 693-8266","http://bobbybsmv.com/","active","verified",""
198,"Catboat Coffee Co.","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","79 Beach Road, Vineyard Haven, MA","(774) 563-5296","https://catboatcoffee.com/","active","verified",""
200,"Delicious MV","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","94 Circuit Ave, Oak Bluffs, MA 02557","","http://deliciousmv.com/","active","verified",""
202,"Island Fresh Pizza","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","395 State Rd, Vineyard Haven, MA 02568","(508) 338-2764","http://islandfreshpizza.com/","active","verified",""
204,"La Choza","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","12 State Rd, Vineyard Haven, MA 02568","","http://lachozamv.com/","active","verified",""
206,"Mikado","Mikado Asian Bistro","Unknown","Vineyard Haven","Restaurant","Restaurants, Food & Beverages","","","http://mikadomv.com/","active","corrected","Located on State Road, Vineyard Haven"
208,"Mocha Mott's","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","15 Main St, Vineyard Haven, MA 02568","(508) 693-3155","http://mochamotts.com/","active","verified",""
210,"Nook","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","238 Main St, Vineyard Haven, MA","(508) 338-2340","http://natsnookmv.com/","active","verified",""
213,"Porto Pizza Martha's Vineyard","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","36 Water St, Vineyard Haven, MA 02568","(508) 693-6200","http://portopizzamv.com/","active","verified",""
215,"Rocco's Pizza Menu","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","s Vineyard, Massachusetts 02568","(508) 693-1125","http://marthasvineyardpizza.com/","active","verified",""
217,"Authentic Italian Food","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","20 Union Street, Vineyard Haven, MA","(508) 687-9457","http://salvatoresristorante.com/","active","verified",""
219,"Scottish Bakehouse","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","977 State Rd, Vineyard Haven, MA 02568","","http://scottishbakehousemv.com/","active","verified",""
221,"Sweet Bites","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","32 Beach Street, Vineyard Haven, MA 02568","(598) 684-8257","http://sweetbitesmv.com/","active","verified",""
225,"Waterside Market","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","82 Main Street, Vineyard Haven, MA 02568","(508) 693-8899","http://watersidemarket.com/","active","verified",""
227,"Menu","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","Grill455 State Rd Unit 4 Vineyard Haven MA 02568","(508) 693-6795","http://woodlandvarietyandgrill.com/","excluded","exclude","Name is ""Menu"" - scraped navigation element"
229,"Allen Farm Sheep & Wool Company","","Chilmark","Chilmark","Restaurant","Shopping & Specialty Retail","421 S Rd, Chilmark, MA 02535","(508) 645-9064","http://allenfarm.com/","active","corrected","Allen Farm - wool/crafts retail"
231,"Native Earth Teaching Farm","","West Tisbury","West Tisbury","Community","Family, Community & Government","94 North Rd, West Tisbury, MA 02575","(302) 208-9250","http://nativeearthteachingfarm.org/","active","corrected","Native Earth Teaching Farm - educational nonprofit"
233,"North Tabor Farm","","Chilmark","Chilmark","Restaurant","Restaurants, Food & Beverages","4 North Tabor Farm Road, Chilmark, MA 02535","(508) 645-3311","http://northtaborfarm.com/","active","corrected","North Tabor Farm - farm with food sales"
239,"Cronigs Market","","Vineyard Haven","Vineyard Haven","Restaurant","Shopping & Specialty Retail","357 State Road, Vineyard Haven, MA 02568","(508) 693-4457","http://cronigsmarket.com/","active","corrected","Cronig's Market - grocery store"
244,"The Reliable Market","","Oak Bluffs","Oak Bluffs","Restaurant","Shopping & Specialty Retail","Oak Bluffs, MA 02557","(508) 693-1102","http://thereliablemarket.com/","active","corrected","Reliable Market - grocery store"
249,"Vineyard Grocer","","Vineyard Haven","Vineyard Haven","Shopping & Retail","Shopping & Specialty Retail","294 State Rd, Vineyard Haven, MA 02568","(508) 693-2000","http://vineyardgrocer.com/","active","corrected","Vineyard Grocer"
251,"Edgartown Seafood Fish Market","","Edgartown","Edgartown","Restaurant","Shopping & Specialty Retail","138 Cooke Street, Edgartown, MA 02539","(508) 627-3791","http://edgartownseafood.com/","active","corrected","Edgartown Seafood - retail fish market"
253,"Larsen's Fish Market","","Chilmark","Chilmark","Shopping & Retail","Shopping & Specialty Retail","56 Basin Rd, Menemsha, MA 02552","(508) 645-2680","http://larsensfishmarket.com/","active","corrected","Larsen's Fish Market - retail fish market"
255,"Menemsha Fish Market","","Chilmark","Chilmark","Shopping & Retail","Shopping & Specialty Retail","54 Basin Rd, Menemsha, MA 02552","(508) 645-2282","http://menemshafishmarket.com/","active","corrected","Menemsha Fish Market - retail fish market"
257,"The Net Result","","Vineyard Haven","Vineyard Haven","Restaurant","Shopping & Specialty Retail","79 Beach Rd, Vineyard Haven, MA 02568","(508) 693-6071","http://mvseafood.com/","active","corrected","The Net Result - retail fish market"
260,"Jim's Package Store","Jim's Package Store","Oak Bluffs","Oak Bluffs","Restaurant","Shopping & Specialty Retail","1608, 
Oak Bluffs, 
MA","(508) 693-0236","http://jimspackagestore.com/","active","corrected","Liquor store"
262,"MV Wine Store","","Edgartown","Edgartown","Shopping & Retail","Shopping & Specialty Retail","196 Upper Main St, Edgartown, MA 02539","(508) 627-7557","http://mvwinestore.com/","active","corrected","MV Wine Store"
266,"Vintage MV Wine & Spirits","Vintage MV Wine & Spirits","Edgartown","Edgartown","Restaurant","Shopping & Specialty Retail","29 Winter Street, Nevin SqaureEdgartown, MA 02539","(774) 549-9287","http://vintagemvwine-spirits.com/","active","corrected","Wine/spirits"
270,"Conroy Apothecary","Conroy Apothecary","Vineyard Haven","Vineyard Haven","Restaurant","Medical Services & Providers","459 State Road West, Tisbury, MA","(508) 693-7070","http://conroy-apothecary.com/","active","corrected","Pharmacy"
273,"Vineyard Scripts","","Unknown","Unknown","Restaurant","Restaurant","","","http://vineyardscripts.com/","excluded","exclude","Website redirect/dead link"
276,"51art Gallery Located at the Shoppe With the Red Door","","Vineyard Haven","Vineyard Haven","Restaurant","Shopping & Specialty Retail","4 Union Street, Vineyard Haven, MA 02568","","http://www.theshoppewiththereddoor.com/","active","corrected","51art Gallery at Shoppe With Red Door"
278,"Sue","Alison Shaw Photography","Oak Bluffs","Oak Bluffs","Restaurant","Arts & Entertainment","Title
















 
 





 

 88 Dukes County Avenue
PO Box 1545
Oak Bluffs, MA 02557","(508) 693-4429","http://alisonshaw.com/","active","corrected","Photography/art"
280,"Blanchard Photography","","West Tisbury","West Tisbury","Professional Services","Arts & Entertainment","West Tisbury, MA 02575","","http://blanchardphotomv.com/","active","corrected","Blanchard Photography"
282,"Entertainmentcinemas.Com/Locations/Edgartown","","Unknown","Unknown","Restaurant","Restaurant","","","http://entertainmentcinemas.com/locations/edgartown","excluded","exclude","Generic cinema chain URL, not MV specific"
284,"Edgartown Firemen's Association","Edgartown Fire Department","Edgartown","Edgartown","Restaurant","Family, Community & Government","516768 Pease Point Way South PO BOX 737Edgartown, MA 02539","(508) 627-5167","http://edgartownfiremensassociation.org/","active","corrected","Government/public safety"
286,"Eisenhauer Gallery","","Edgartown","Edgartown","Restaurant","Arts & Entertainment","38 N WATER ST PO Box 1930, EDGARTOWN, MA 02539","","http://eisenhauergallery.com/","active","corrected","Eisenhauer Gallery - art gallery"
288,"Featherstone Center for the Arts","","Oak Bluffs","Oak Bluffs","Restaurant","Arts & Entertainment","Oak Bluffs, MA, 02557","(508) 693-1850","http://featherstoneart.org/","active","corrected","Featherstone Center for the Arts"
290,"Field Gallery","","West Tisbury","West Tisbury","Restaurant","Arts & Entertainment","1050 State Road                West, Tisbury, MA 02575","(508) 693-5595","http://fieldgallery.com/","active","corrected","Field Gallery - art gallery"
293,"Island Folk Pottery","","Chilmark","Chilmark","Restaurant","Arts & Entertainment","s Way
Chilmark, MA
02535","(508) 955-9944","http://islandfolkpottery.com/","active","corrected","Island Folk Pottery - art/crafts"
295,"Louisa Gould Photographer","Louisa Gould Gallery","Unknown","Vineyard Haven","Restaurant","Arts & Entertainment","","","http://louisagould.com/","active","corrected","Located in Vineyard Haven"
297,"MV Glassworks","","West Tisbury","West Tisbury","Shopping & Retail","Arts & Entertainment","683 State Road, West Tisbury, MA 02575","(508) 693-6026","http://mvglassworks.com/","active","corrected","MV Glassworks - art glass"
300,"MV Museum","","Vineyard Haven","Vineyard Haven","Community","Arts & Entertainment","SUNDAY
151 LAGOON POND ROADVINEYARD HAVEN MA 02568","(508) 627-4441","http://mvmuseum.org/","active","corrected","MV Museum"
304,"Merry Farm Pottery","","West Tisbury","West Tisbury","Shopping & Retail","Arts & Entertainment","674 Lambert's Cove Rd, West Tisbury, MA 02575","(774) 836-4349","http://merryfarmpottery.com/","active","corrected","Merry Farm Pottery - art/crafts"
306,"Michaeljimage","","Unknown","Unknown","Restaurant","Restaurant","","(415) 238-7572","http://michaeljimage.com/","excluded","exclude","Invalid website/photographer page error"
308,"Moore Family Gallery","","Oak Bluffs","Oak Bluffs","Restaurant","Arts & Entertainment","s Park Road, Oak Bluffs, MA, 02557","(508) 693-8548","http://moorefamilygallery.com/","active","corrected","Moore Family Gallery"
310,"MV Camp Meeting Association","","Oak Bluffs","Oak Bluffs","Community","Community","80 Trinity Park, Oak Bluffs, MA 02557","(508) 693-0525","http://mvcma.org/","active","verified",""
312,"North Water Gallery","","West Tisbury","West Tisbury","Restaurant","Restaurant","1050 State Road                West, Tisbury, MA 02575","(508) 627-6002","http://northwatergallery.com/","active","verified",""
314,"Pathways Arts","","Chilmark","Chilmark","Community","Community","9 State Road, Chilmark, MA 02535","(508) 645-9098","http://pathwaysmv.org/","active","verified",""
316,"Seastone Papers","","West Tisbury","West Tisbury","Restaurant","Restaurant","s Vineyard, MA  02575","(508) 693-5786","http://seastonepapers.com/","active","verified",""
318,"Strand Theatre MV","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","11 Oak Bluffs Ave, Oak Bluffs, MA 02557","(312) 576-4890","http://strandtheatre-marthasvineyard.com/","active","verified",""
320,"Vineyard Preservation Trust","","Edgartown","Edgartown","Restaurant","Restaurant","Box 5277
Edgartown, MA 02539","(774) 549-9107","http://vineyardtrust.org/","active","verified",""
322,"The Christina Gallery","","Edgartown","Edgartown","Restaurant","Restaurant","5 Winter Street, Edgartown, MA 02539","(508) 627-8794","http://christina.com/","active","verified",""
324,"Peter Simon Photography","","Chilmark","Chilmark","Restaurant","Restaurant","14 Wisteria Road, Chilmark, MA 02535","","http://petersimon.com/","active","verified",""
326,"The Vineyard's Drive","","Unknown","Unknown","Restaurant","Restaurant","","(508) 696-6300","http://driveinmv.com/","active","verified",""
328,"Instagram","","Unknown","Unknown","Restaurant","Restaurant","","","https://instagram.com","active","verified",""
329,"The Yard","","Chilmark","Chilmark","Restaurant","Restaurant","1 The Yard, Chilmark, MA","(508) 645-9662","http://dancetheyard.org/","active","verified",""
331,"Tuck & Holand Metal Sculptors","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","275 State Road, Tisbury, MA","(508) 693-3914","http://tuckandholand.com/","active","verified",""
333,"Vineyard Arts Project","","Edgartown","Edgartown","Restaurant","Restaurant","215 Upper Main Street, Edgartown, MA 02539","(508) 413-2104","http://vineyardarts.org/","active","verified",""
335,"Washington Ledesma","","Edgartown","Edgartown","Restaurant","Restaurant","58 Dock Street, Edgartown, MA","(508) 693-1823","http://washingtonledesmamv.com/","active","verified",""
337,"Winter Street Gallery","","Edgartown","Edgartown","Restaurant","Restaurant","22 Winter Street, Edgartown, MA 02539","(401) 602-1702","http://winterstreetgallery.com/","active","verified",""
339,"Edgartown Golf Club Martha's Vineyard","","Edgartown","Edgartown","Restaurant","Restaurant","205 , Edgartown, MA 02539","(508) 627-5343","https://edgartowngolfclub.com/","active","verified",""
340,"Felix Neck Wildlife Sanctuary","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","494 , Vineyard Haven, MA 02568","(508) 627-4850","http://massaudubon.org/felixneck","active","verified",""
342,"Mink Meadows Golf Club","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","320 Golf Club Road, Vineyard Haven, MA 02568","(508) 693-0600","https://www.minkmeadowsgc.com/","active","verified",""
343,"The Polly Hill Arboretum","","West Tisbury","West Tisbury","Restaurant","Restaurant","809 State Road West, Tisbury, MA 02575","(508) 693-9426","http://pollyhillarboretum.org/","active","verified",""
345,"Royal Chappy Golf","","Edgartown","Edgartown","Restaurant","Restaurant","EDGARTOWN MA 02539","(508) 939-4055","https://royalchappy.com/","active","verified",""
346,"Vineyard Golf Club","","Edgartown","Edgartown","Restaurant","Restaurant","Box 9 Edgartown, MA 02539","(508) 627-8930","https://www.vineyardgolf.com/","active","verified",""
347,"The Martha's Vineyard Groups of Alcoholics Anonymous","","Edgartown","Edgartown","Restaurant","Restaurant","45 South Summer Street, Edgartown, MA","(508) 627-7084","https://aaonmv.org","active","verified",""
348,"MV Narcotics Anonymous","","Vineyard Haven","Vineyard Haven","Community","Community","Vineyard Haven, MA","(866) 686-2669","http://mvana.org/","active","verified",""
349,"Refuge Recovery World Services","","Unknown","Unknown","Restaurant","Restaurant","","(323) 592-9502","http://refugerecovery.org/","active","verified",""
350,"Smart Recovery","","Unknown","Unknown","Restaurant","Restaurant","","(440) 951-5357","http://smartrecovery.org/","active","verified",""
