id,business_name,current_town,website,phone,google_search_url,verified_town,verified_address
348,"Mvana","Vineyard Haven","http://mvana.org/","(866) 686-2669","https://www.google.com/maps/search/Mvana%20Martha's%20Vineyard%20MA",,
349,"Refuge Recovery World Services","Vineyard Haven","http://refugerecovery.org/","(323) 592-9502","https://www.google.com/maps/search/Refuge%20Recovery%20World%20Services%20Martha's%20Vineyard%20MA",,
350,"Smart Recovery","Vineyard Haven","http://smartrecovery.org/","(440) 951-5357","https://www.google.com/maps/search/Smart%20Recovery%20Martha's%20Vineyard%20MA",,
351,"Airportfitness","Vineyard Haven","http://airportfitnessmv.com/","(508) 696-8000","https://www.google.com/maps/search/Airportfitness%20Martha's%20Vineyard%20MA",,
355,"Crossfitmarthas","Vineyard Haven","http://crossfitmarthasvineyard.com/","","https://www.google.com/maps/search/Crossfitmarthas%20Martha's%20Vineyard%20MA",,
372,"Vineyard Vinyasa","Vineyard Haven","http://vineyardvinyasamv.com/","","https://www.google.com/maps/search/Vineyard%20Vinyasa%20Martha's%20Vineyard%20MA",,
399,"Book a Hostel","Vineyard Haven","http://hiusa.org/","","https://www.google.com/maps/search/Book%20a%20Hostel%20Martha's%20Vineyard%20MA",,
417,"Summercamp Hotel","Vineyard Haven","http://summercamphotel.com/","","https://www.google.com/maps/search/Summercamp%20Hotel%20Martha's%20Vineyard%20MA",,
425,"Captain Flanders Inn","Vineyard Haven","http://captainflandersinn.com/","(508) 645-3123","https://www.google.com/maps/search/Captain%20Flanders%20Inn%20Martha's%20Vineyard%20MA",,
431,"Duckinnon","Vineyard Haven","http://duckinnonmv.com/","(715) 386-9450","https://www.google.com/maps/search/Duckinnon%20Martha's%20Vineyard%20MA",,
433,"Lark Hotels","Vineyard Haven","https://www.larkhotels.com/hotels/the-edgartown-collection","","https://www.google.com/maps/search/Lark%20Hotels%20Martha's%20Vineyard%20MA",,
459,"Altheadesigns","Vineyard Haven","http://altheadesigns.com/","","https://www.google.com/maps/search/Altheadesigns%20Martha's%20Vineyard%20MA",,
463,"Bellezzamvsalon","Vineyard Haven","http://bellezzamvsalon.com/","","https://www.google.com/maps/search/Bellezzamvsalon%20Martha's%20Vineyard%20MA",,
470,"Brickman","Vineyard Haven","http://brickmans.com/","(508) 693-0047","https://www.google.com/maps/search/Brickman%20Martha's%20Vineyard%20MA",,
472,"Brunos","Vineyard Haven","http://brunosmv.com/","","https://www.google.com/maps/search/Brunos%20Martha's%20Vineyard%20MA",,
476,"Cape Cod 5","Vineyard Haven","http://capecodfive.com/","(888) 225-4636","https://www.google.com/maps/search/Cape%20Cod%205%20Martha's%20Vineyard%20MA",,
478,"Cb Stark Jewelers","Vineyard Haven","http://cbstark.com/","(888) 227-8275","https://www.google.com/maps/search/Cb%20Stark%20Jewelers%20Martha's%20Vineyard%20MA",,
483,"Chickenalley","Vineyard Haven","http://chickenalley.org/","","https://www.google.com/maps/search/Chickenalley%20Martha's%20Vineyard%20MA",,
487,"Claudia Jewelry","Vineyard Haven","http://claudia.jewelry/","(508) 627-8306","https://www.google.com/maps/search/Claudia%20Jewelry%20Martha's%20Vineyard%20MA",,
496,"Darosa's","Vineyard Haven","http://darosasmv.com/","(508) 693-0110","https://www.google.com/maps/search/Darosa's%20Martha's%20Vineyard%20MA",,
503,"E. C. Cottle, Inc.","Vineyard Haven","http://eccottle.com/","(508) 627-4381","https://www.google.com/maps/search/E.%20C.%20Cottle%2C%20Inc.%20Martha's%20Vineyard%20MA",,
512,"The Edgartown Council on Aging","Vineyard Haven","http://edgartowncoa.com/","(508) 627-4368","https://www.google.com/maps/search/The%20Edgartown%20Council%20on%20Aging%20Martha's%20Vineyard%20MA",,
518,"Edgartownpaintshoppe","Vineyard Haven","http://edgartownpaintshoppe.com/","","https://www.google.com/maps/search/Edgartownpaintshoppe%20Martha's%20Vineyard%20MA",,
520,"Fine Fettle","Vineyard Haven","http://finefettle.com/","","https://www.google.com/maps/search/Fine%20Fettle%20Martha's%20Vineyard%20MA",,
523,"Good Dog Goods","Vineyard Haven","http://gooddoggoods.com/","(508) 696-7100","https://www.google.com/maps/search/Good%20Dog%20Goods%20Martha's%20Vineyard%20MA",,
536,"Islandmusic","Vineyard Haven","http://islandmusicmv.com/","","https://www.google.com/maps/search/Islandmusic%20Martha's%20Vineyard%20MA",,
540,"Jardin Mahoney","Vineyard Haven","http://jardinmahoneymv.com/","(508) 693-3511","https://www.google.com/maps/search/Jardin%20Mahoney%20Martha's%20Vineyard%20MA",,
549,"Larry","Vineyard Haven","http://larrystackle.com/","(508) 627-5088","https://www.google.com/maps/search/Larry%20Martha's%20Vineyard%20MA",,
565,"Martha's Vineyard Made","Vineyard Haven","http://marthasvineyardmade.com/","(508) 338-2598","https://www.google.com/maps/search/Martha's%20Vineyard%20Made%20Martha's%20Vineyard%20MA",,
577,"Menemshablues","Vineyard Haven","http://menemshablues.com/","","https://www.google.com/maps/search/Menemshablues%20Martha's%20Vineyard%20MA",,
591,"Phillips Hardware Closed","Vineyard Haven","http://phillipshardwaremv.com/","","https://www.google.com/maps/search/Phillips%20Hardware%20Closed%20Martha's%20Vineyard%20MA",,
593,"Marthasvineyardescaperoom","Vineyard Haven","https://www.marthasvineyardescaperoom.com/escape-room-pirates-puzzle","","https://www.google.com/maps/search/Marthasvineyardescaperoom%20Martha's%20Vineyard%20MA",,
597,"Revive by Sarka ~ European Skincare, Boutique & Spa","Vineyard Haven","http://revivebysarka.com/","","https://www.google.com/maps/search/Revive%20by%20Sarka%20~%20European%20Skincare%2C%20Boutique%20%26%20Spa%20Martha's%20Vineyard%20MA",,
599,"Personal & Business Banking","Vineyard Haven","http://rocklandtrust.com/","(508) 732-7072","https://www.google.com/maps/search/Personal%20%26%20Business%20Banking%20Martha's%20Vineyard%20MA",,
606,"Sea Bags","Vineyard Haven","http://seabags.com/","(888) 210-4244","https://www.google.com/maps/search/Sea%20Bags%20Martha's%20Vineyard%20MA",,
608,"Sea Legs","Vineyard Haven","http://sealegsmv.com/","","https://www.google.com/maps/search/Sea%20Legs%20Martha's%20Vineyard%20MA",,
610,"Sea Spasalon","Vineyard Haven","http://seaspasalonmv.com/","(508) 627-8953","https://www.google.com/maps/search/Sea%20Spasalon%20Martha's%20Vineyard%20MA",,
618,"Slip 77","Vineyard Haven","http://slip77.com/","","https://www.google.com/maps/search/Slip%2077%20Martha's%20Vineyard%20MA",,
620,"Soft As a Grape","Vineyard Haven","http://softasagrape.com/","(508) 295-9900","https://www.google.com/maps/search/Soft%20As%20a%20Grape%20Martha's%20Vineyard%20MA",,
623,"Sole","Vineyard Haven","http://solemv.com/","","https://www.google.com/maps/search/Sole%20Martha's%20Vineyard%20MA",,
629,"Summershadessunglasses","Vineyard Haven","http://summershadessunglasses.com/","","https://www.google.com/maps/search/Summershadessunglasses%20Martha's%20Vineyard%20MA",,
637,"Boneyard Surf Co.","Vineyard Haven","http://boneyardmv.com/","","https://www.google.com/maps/search/Boneyard%20Surf%20Co.%20Martha's%20Vineyard%20MA",,
646,"Tisburyma.Gov/Council-Aging","Vineyard Haven","http://tisburyma.gov/council-aging","","https://www.google.com/maps/search/Tisburyma.Gov%2FCouncil-Aging%20Martha's%20Vineyard%20MA",,
652,"Martha’s Vineyard Home Décor","Vineyard Haven","http://vineyarddecorators.com/","(508) 693-9197","https://www.google.com/maps/search/Martha%E2%80%99s%20Vineyard%20Home%20D%C3%A9cor%20Martha's%20Vineyard%20MA",,
656,"Vineyard Hearth Patio & Spa","Vineyard Haven","http://vineyardhearthpatioandspa.com/","(508) 693-5520","https://www.google.com/maps/search/Vineyard%20Hearth%20Patio%20%26%20Spa%20Martha's%20Vineyard%20MA",,
660,"Vineyard Vines","Vineyard Haven","http://vineyardvines.com/","(800) 892-4982","https://www.google.com/maps/search/Vineyard%20Vines%20Martha's%20Vineyard%20MA",,
663,"Wheelhappybicycles","Vineyard Haven","http://wheelhappybicycles.com/","","https://www.google.com/maps/search/Wheelhappybicycles%20Martha's%20Vineyard%20MA",,
665,"Sail Surf and Paddle on Martha's Vineyard","Vineyard Haven","http://windsupmv.com/","","https://www.google.com/maps/search/Sail%20Surf%20and%20Paddle%20on%20Martha's%20Vineyard%20Martha's%20Vineyard%20MA",,
702,"9 Craft Kitchen And Bar","Vineyard Haven","","","https://www.google.com/maps/search/9%20Craft%20Kitchen%20And%20Bar%20Martha's%20Vineyard%20MA",,
704,"Beach Road","Vineyard Haven","","","https://www.google.com/maps/search/Beach%20Road%20Martha's%20Vineyard%20MA",,
719,"Martha's Vineyard Pizza","Vineyard Haven","http://marthasvineyardpizza.com","","https://www.google.com/maps/search/Martha's%20Vineyard%20Pizza%20Martha's%20Vineyard%20MA",,
720,"Art Cliff Diner","Vineyard Haven","http://artcliffdiner.com","","https://www.google.com/maps/search/Art%20Cliff%20Diner%20Martha's%20Vineyard%20MA",,
723,"Rosie's Frozen Yogurt","Vineyard Haven","https://rosiesfrozenyogurt.com","","https://www.google.com/maps/search/Rosie's%20Frozen%20Yogurt%20Martha's%20Vineyard%20MA",,
728,"La Strada","Vineyard Haven","","","https://www.google.com/maps/search/La%20Strada%20Martha's%20Vineyard%20MA",,
729,"Model Deli Is a Model of Deliciousness","Vineyard Haven","https://www.mvtimes.com/2024/10/16/model-deli-model-deliciousness/","","https://www.google.com/maps/search/Model%20Deli%20Is%20a%20Model%20of%20Deliciousness%20Martha's%20Vineyard%20MA",,
